what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985748357
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985778272
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985783366
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985880565
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349985880626
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985886284
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985986890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985999339
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986060568
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349986060620
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986063101
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986086836
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986086836
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986086860
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986087196
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986309356
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986313016
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986327010
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986327010
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986327044
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986340678
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986343197
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349986343197
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349986343260
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349986344964
