what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811356320
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811377621
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811380723
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349811384556
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349811421164
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1349811443201
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811443269
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811448606
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811540210
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811541506
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811541904
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811559385
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811567438
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811585407
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811614016
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811657734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811672177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811677442
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349811677948
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1349811694872
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349811697651
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349811719468
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1349811739386
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349811742882
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349811743632
