what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984918288
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984933857
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349984934087
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984935513
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984935653
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984944824
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984947814
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984978386
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985026971
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349985027114
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349985032931
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349985037118
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349985042505
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349985044350
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985045797
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349985050157
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349985050157
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985050176
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985050551
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985067516
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985067517
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985067647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985068587
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985237326
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.featureEditor,1349985239086
