what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1349883001689
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1349883001720
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1349883001735
started,bundle,com.ibm.pvc.tools.web,6.2.2.20100816-1002,com.ibm.pvc.tools.web,1349883001823
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1349883001837
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349883005594
closed,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349883005595
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1349883005616
closed,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349883005656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883013065
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883069988
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1349883073032
started,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1349883074561
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349883083763
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349883083798
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1349883093545
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883097057
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883097060
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883097099
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883112081
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883115335
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883117314
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883124145
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349883261501
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349883261534
