what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1350671390360
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671393471
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671404656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671406368
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671529810
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671534836
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671538752
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1350671540361
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671550461
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1350671551550
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1350671551834
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1350671551975
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1350671552411
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671552433
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671554114
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1350671555052
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671555080
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1350671556163
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671556610
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671560954
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1350671562155
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1350671566168
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1350671573307
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671575388
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350671582891
