what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349825370497
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825372090
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825374951
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1349825375265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825380727
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825399424
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1349825405037
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825406673
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825415049
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349825416468
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1349825418132
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1349825429012
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349825430239
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825440074
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825461265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1349825462658
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1349825466191
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1349825466558
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1349825466746
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1349825468166
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349825481035
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349825490744
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825505969
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349825519835
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1349825519875
