what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1350313628234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313628263
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.featureEditor,1350313634681
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.featureEditor,1350313634940
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313636214
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313639805
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313642249
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313645173
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1350313652358
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1350313655652
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313657461
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1350313702736
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1350313702741
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1350313702741
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313702755
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313703099
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.4.v20081217,org.eclipse.equinox.p2.metadata.generator,1350313703340
started,bundle,org.eclipse.equinox.p2.director.app,1.0.1.R34x_v20080729,org.eclipse.equinox.p2.director.app,1350313703370
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1350313703399
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1350313703420
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1350313703430
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1350313703451
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1350313706298
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313707521
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350313710924
