what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349985629973
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349985635218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985642329
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985660097
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985665218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985669217
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.productEditor,1349985669479
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.productEditor,1349985669535
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349985670671
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.productEditor,1349985674244
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349985674318
closed,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.productEditor,1349985674321
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349985675867
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985677995
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1349985678733
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1349985678848
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1349985679012
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1349985679340
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985679357
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985690003
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985711060
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985712518
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349985747940
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349985747941
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349985747960
