what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349983788999
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349983791613
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1349983791654
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983795892
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983798644
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983806147
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983810034
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1349983816497
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.featureEditor,1349983818069
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983822056
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983825520
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983840345
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983842323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983849264
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983852623
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983869596
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983956776
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1349983956812
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1349983956865
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1349983956889
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349983959038
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1349984006864
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349984006928
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1349984006928
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349984006981
