what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1349889599916
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1349889599918
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1349889599926
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1349889602466
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889651669
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1349889651690
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889661322
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889706421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889709368
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889749333
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889753363
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889767633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889769311
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889912934
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889913108
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1349889914742
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1349889914746
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1349889914754
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1349889914972
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1349889915279
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1349889915279
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1349889915279
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1349889915280
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1349889915280
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1349889915281
