what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1353340293266
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1353340293288
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1353340293301
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1353340293327
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1353340296261
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340304448
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340304570
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340712895
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340712896
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340712917
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1353340716488
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353340716615
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1353340716686
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353340722374
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340730216
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340762532
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340764032
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.cleanAction,1353340766064
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340766117
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340766119
started,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1353340767231
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353340770881
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1353340771027
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.siteEditor,1353340771117
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1353340771136
